depth,a,t,v2_last,n_mod,delta,threshold
204,204,322,3,160475423,-12970784955262215986861200260219941314757091575498343094152405469577612859882914622453312274817777,None
205,205,323,1,240713135,-47456303009470288290163687605338032402682092815921640362245382840021717482771306067451785172199635,None
206,206,324,1,361069703,-159456805315778145529651236465370514124867914626618143246312481382642910254559042602539052212091513,None
207,207,325,1,541604555,-512546208522068997907274056694824376208247016237560874058090109873084246376167376607984550027259755,None
208,208,326,1,812406833,-1605990210715676116358462864681898796292027593428095510812575661069563770353482627424688436863749697,None
209,209,328,2,609305125,-4681267461848090103802107204850845053541509690853460755161116320308069248610486887072595737027308227,None
210,210,332,4,114244711,-6935237529999481557195689376420265723226728422157441847099594490091860498433488910741369385756999753,None
211,211,333,1,171367067,-29554715489130492369077077037731282631092862990045175287001865895915393492097970425118160865363214555,None
212,212,334,1,257050601,-106162152265655572502211248930134818816103944417281225352411762539025804469888918661142588012274074257,None
213,213,336,2,192787951,-283490445200438526716673711156522514602661122357552277074422957914518165422476741211851553204453361587,None
214,214,337,1,289181927,-990455381987428343309861276005095311190586210649822427154518192553791488216190282721859502942835529497,None
215,215,338,1,433772891,-3251334238734510556249264113086341468336964319103798473326053215281848448546090966338188195487457477963,None
216,216,339,1,650659337,-10313938901747982721387152909401135474541304331620057803703156921086493313433313135359783959780274212833,None
217,217,341,2,487994503,-29821944334155046058882737587919184284563090246242848643659476212777584004709858933388913132705019080611,None
218,218,342,1,731991755,-93945322486820746597763097324894441409932561733197845000778406840260335756489898690928494384658271473385,None
219,219,343,1,1097987633,-290794946429173456635519061096957101342284267188532133141935176924636174754190339854308993127061242883259,None
220,220,345,2,823490725,-854466881350097936222097645046323749801879637587719203146605617966198189293129731999879959435010871723569,None
221,221,349,4,154404511,-1631666831304327257074396946422498429707034385913543402921421387897657149468442242721194841104044055007891,None
222,222,350,1,231606767,-6041749801908017527028601286918538759519385652324770770633058583386432886449569132198593799867195008300985,None
223,223,351,1,347410151,-20418748021714124092696624756057703219354721946142593435636764589546221535437192204665799952711710711457579,None
224,224,352,1,521115227,-65843241297122515301311516058777283539657295816764342554385471447412510358488546230137436964355383507481985,None
225,225,353,1,781672841,-206703718355327831950377831757540198382158147406966152158106769699785222579819577922692385105506653268664451,None
226,226,355,2,586254631,-601763166138062923758246928110203899620101922307552207484419598384260284730750855303517006891638954313556361,None
227,227,356,1,879381947,-1878681454125871059646287052980278480965795846576041618412861638013162386227084079768791614374440884910417051,None
228,228,357,1,1319072921,-5782828273800977755681953696240169007108367699034894847157790599760250222750915267022856030522370698670747089,None
229,229,359,2,989304691,-17054916998556204113559676014121839892903142778491144557634960427839224540113419745635605716769016008133249395,None
230,230,360,1,1483957037,-52339022287055528954623768340760188192397269609927593608258526769283778132897563458638666649499432375915715673,None
231,231,363,3,556483889,-145274353947297420724423902038333879440313396085241181471239125450190289273119648158597504956574453612587472139,None
232,232,365,2,417362917,-417034721179701596350155861340686942101934727864456985448059048578313195618442076928082922882645211213506936609,None
233,233,369,4,78255547,-274110449105190166248443655757696622917520243247509890129944101577540632407649118303349985319871853179235859811,None
234,234,370,1,117383321,-2024785149695773111424745032829230426768910194783589444191965282157112918081626877963463843132617135490058287145,None
235,235,372,2,88037491,-3669447844326914108915406967375410164274031654268648784971629891622356712527521587783563755051848254565473446011,None
236,236,373,1,132056237,-20627973952022363228181533426575354956952890683134424545331953494262998304452000947778002362539557371315225999729,None
237,237,376,3,49521089,34312382334349119329808524964765179770449285153881508268174777711170286755338359000939103886221453962242378617773,16.918891488632855
